"train_no","scheduled_dt","route","carrier","eq_code","set_no","dep_delay","arr_delay","station","country","latitude","longitude","zoom","hr","group","assistance","duty","premier","plus","standard","wheelchair_companion","wheelchair","senior","adult","youth","child","guide_dog","00~02","03~12","13~19","20~29","30~39","40~49","50~59","60~69","70~79","80~89","90~99","100+","eu_count","noneu_count","passeneger_counts","child_meal","dairy_free_meal","diabetic_meal","gluten_free_meal","kosher_meal","low_fat_meal","low_salt_meal","halal_meal","vegan_meal","vegetarian_meal","standard_meal"
"9004",2024-12-30,GBSPX-FRPNO,ES,E320,"4023-4024",0,8,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",7,13,0,1,75,131,658,0,0,20,629,165,49,1,3,60,106,267,156,114,123,50,8,1,0,0,160,728,864,4,0,0,0,0,0,0,1,0,2,199
"9007",2024-12-30,FRPNO-GBSPX,ES,E320,"4015-4016",-1,-3,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",7,68,0,1,2,133,631,0,0,6,547,191,22,0,2,40,101,320,148,87,56,18,4,1,1,0,487,291,766,0,0,0,0,2,0,0,0,0,1,132
"9008",2024-12-30,GBSPX-FRPNO,ES,E320,"4013-4014",-1,1,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",8,0,0,0,105,105,658,1,1,42,616,147,65,0,0,75,106,202,167,128,132,66,16,2,1,0,86,809,870,5,1,0,0,0,0,0,0,0,3,203
"9009",2024-12-30,FRPNO-GBSPX,ES,E320,"4003-4004",15,21,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",7,0,0,0,7,75,621,0,0,29,484,163,26,1,1,46,82,265,131,91,61,27,8,0,0,0,459,253,703,0,0,0,0,0,0,0,0,0,0,82
"9013",2024-12-30,FRPNO-GBSPX,ES,E320,"4001-4002",-1,1,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",8,10,0,0,23,125,667,1,1,37,533,191,56,0,3,65,119,233,132,102,97,54,7,2,0,0,498,316,817,2,0,0,1,0,0,0,0,0,0,147
"9014",2024-12-30,GBSPX-FRPNO,ES,E320,"4029-4030",0,3,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",9,46,0,0,76,134,675,0,0,48,604,154,79,0,1,101,103,141,125,163,124,54,30,7,0,0,91,758,885,0,0,0,0,0,0,0,0,1,1,208
"9015",2024-12-30,FRPNO-GBSPX,ES,E320,"4019-4020",5,16,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",9,41,0,0,24,115,560,0,0,28,489,136,46,0,1,56,93,157,99,97,90,30,16,1,0,0,359,281,699,1,0,0,1,0,0,0,6,0,0,131
"9018",2024-12-30,GBSPX-FRPNO,ES,E320,"4005-4006",0,2,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",10,134,0,0,104,105,668,1,3,34,631,154,62,0,7,82,117,138,107,166,117,45,14,3,0,0,88,708,881,6,0,0,1,0,0,0,0,0,3,203
"9019",2024-12-30,FRPNO-GBSPX,ES,E300,"3221-3222",0,10,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",10,0,0,0,33,131,543,2,2,54,446,152,59,0,3,75,93,131,104,133,103,57,17,2,0,0,394,324,711,1,0,0,0,0,0,0,0,0,6,161
"9022",2024-12-30,GBSPX-FRPNO,ES,E320,"4001-4002",-1,-2,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",11,131,0,1,95,105,663,3,3,34,620,143,72,0,3,82,124,108,115,158,129,55,19,3,0,0,126,670,869,3,0,0,0,2,0,0,4,0,2,195
"9023",2024-12-30,FRPNO-GBSPX,ES,E320,"4011-4012",4,3,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",11,0,0,0,74,133,664,2,3,39,596,158,81,2,5,95,89,190,144,151,115,40,21,6,0,0,426,430,876,2,0,0,0,1,0,0,3,0,0,206
"9024",2024-12-30,GBSPX-FRPNO,ES,E320,"4015-4016",0,-1,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",12,11,0,0,77,112,672,1,1,36,572,176,79,0,1,98,135,128,116,181,137,63,22,3,0,0,200,684,863,5,0,0,2,2,1,0,0,0,3,178
"9027",2024-12-30,FRPNO-GBSPX,ES,E320,"4023-4024",-1,1,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",12,49,0,0,70,132,654,1,1,28,574,155,100,1,4,103,107,140,121,158,111,37,22,2,2,0,352,455,858,0,0,1,3,0,0,0,0,0,1,199
"9028",2024-12-30,GBSPX-FRPNO,ES,E300,"4011-4012",5,20,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",13,0,0,0,38,125,573,2,0,46,487,148,57,0,1,79,106,127,115,137,119,49,28,7,0,0,261,507,738,1,0,0,0,0,0,0,0,1,2,161
"9030",2024-12-30,GBSPX-FRPNO,ES,E320,"4007-4008",1,-3,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",14,0,0,0,34,64,772,0,0,25,678,115,52,0,0,48,65,255,176,88,90,31,12,1,0,0,169,597,870,1,0,0,0,0,0,0,0,1,1,95
"9031",2024-12-30,FRPNO-GBSPX,ES,E320,"4013-4014",0,-1,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",13,0,0,0,28,166,674,0,1,39,616,145,69,0,4,87,108,186,134,167,135,47,27,4,0,0,358,541,869,4,0,0,0,0,0,0,3,0,1,187
"9032",2024-12-30,GBSPX-FRPNO,ES,E300,"3219-3220",25,45,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",14,64,0,0,72,118,534,1,1,29,485,158,54,0,6,61,109,140,111,110,90,43,15,5,0,0,285,405,726,0,0,0,0,0,0,0,0,0,0,192
"9036",2024-12-30,GBSPX-FRPNO,ES,E300,"4013-4014",0,3,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",15,0,0,0,39,120,575,2,0,32,481,165,58,0,2,73,112,164,99,130,91,50,13,7,2,0,410,333,736,1,0,0,1,0,0,0,0,0,3,156
"9037",2024-12-30,FRPNO-GBSPX,ES,E320,"4029-4030",0,5,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",14,0,0,0,32,120,657,2,2,38,560,152,60,3,2,90,100,186,166,160,112,51,30,6,0,0,311,592,813,4,2,0,0,1,0,0,4,0,2,143
"9039",2024-12-30,FRPNO-GBSPX,ES,E320,"4005-4006",-1,-1,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",15,2,0,0,33,128,560,0,0,29,528,111,52,1,5,67,69,177,113,128,88,36,20,5,0,0,276,432,721,3,0,0,2,0,0,0,0,1,0,155
"9040",2024-12-30,GBSPX-FRPNO,ES,E320,"4025-4026",-1,1,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",16,100,0,0,57,134,664,1,1,31,581,162,82,1,3,63,113,160,104,123,93,34,26,2,0,0,432,289,857,0,0,0,1,0,2,2,0,0,0,188
"9043",2024-12-30,FRPNO-GBSPX,ES,E320,"4001-4002",0,1,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",16,26,0,1,34,157,672,1,1,39,612,129,84,1,2,113,76,173,143,162,88,59,23,2,0,0,283,558,865,2,0,0,0,0,0,0,0,0,2,189
"9044",2024-12-30,GBSPX-FRPNO,ES,E320,"3205-3206",-1,10,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",17,48,0,0,39,157,544,0,0,29,487,173,51,0,2,70,119,182,98,110,116,37,12,0,0,0,437,309,740,0,0,0,0,0,0,0,1,0,1,194
"9046",2024-12-30,GBSPX-FRPNO,ES,E320,"4005-4006",-1,0,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",18,117,0,0,27,152,664,0,0,29,622,150,42,0,1,54,96,169,114,117,66,35,12,4,2,0,453,217,843,6,0,0,3,2,0,0,2,0,2,164
"9047",2024-12-30,FRPNO-GBSPX,ES,E320,"4015-4016",-1,-3,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",17,10,0,0,39,135,674,0,0,33,628,120,66,1,6,75,91,191,187,133,97,29,30,6,1,0,324,522,848,2,0,0,0,0,0,0,0,0,5,167
"9050",2024-12-30,GBSPX-FRPNO,ES,E320,"4001-4002",4,2,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",19,111,0,0,12,108,639,0,0,22,530,168,39,0,0,45,100,147,102,70,81,26,4,3,0,0,399,179,759,2,0,0,0,0,0,0,0,0,7,111
"9051",2024-12-30,FRPNO-GBSPX,ES,E300,"4011-4012",0,3,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",18,0,0,0,48,101,519,2,0,29,485,101,53,2,1,68,76,180,141,103,103,37,12,3,1,0,181,544,670,2,0,1,0,0,0,0,0,0,3,145
"9054",2024-12-30,GBSPX-FRPNO,ES,E320,"4015-4016",-1,-7,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",19,10,0,0,15,134,620,0,0,24,507,206,32,0,0,47,123,259,128,90,88,34,11,0,0,0,527,253,769,0,0,0,0,0,0,0,3,0,0,146
"9055",2024-12-30,FRPNO-GBSPX,ES,E300,"3007-3008",1,-3,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",19,0,0,1,20,122,532,0,0,14,530,87,40,3,0,48,71,193,143,98,93,41,12,2,0,0,160,541,674,1,0,0,0,0,0,0,0,0,2,139
"9060",2024-12-30,GBSPX-FRPNO,ES,E300,"3007-3008",-1,0,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",12,0,0,0,39,59,633,0,0,34,529,114,53,1,2,61,85,183,138,102,107,43,22,5,0,0,129,619,731,0,0,0,1,0,0,0,0,0,1,96
"9067",2024-12-30,FRPNO-GBSPX,ES,E320,"4007-4008",0,3,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",19,0,0,1,24,118,669,2,2,10,659,106,39,1,0,49,74,270,175,115,63,22,13,2,0,0,369,414,815,3,0,0,2,0,2,0,3,2,6,128
"9106",2024-12-30,GBSPX-NLAMA,ES,E320,"4009-4010",0,-4,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",7,0,0,0,24,143,665,1,1,14,690,97,32,1,0,40,59,250,210,106,103,37,7,2,0,0,207,607,834,0,0,0,0,0,0,0,4,4,0,161
"9110",2024-12-30,GBSPX-BEBMI,ES,E300,"4007-4008",-1,0,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",7,0,0,0,5,91,448,0,0,11,383,116,34,0,0,48,66,149,90,95,71,26,12,1,0,0,188,370,544,1,0,0,0,0,0,0,2,0,0,93
"9113",2024-12-30,BEBMI-GBSPX-FAST,ES,E320,"4005-4006",0,8,Lille Europe,France,"50.639224","3.075796","16",8,0,0,0,0,29,257,0,0,3,180,93,10,0,0,12,32,117,42,36,36,8,0,0,0,0,270,13,286,0,0,0,0,0,0,0,0,0,0,29
"9113",2024-12-30,BEBMI-GBSPX-FAST,ES,E320,"4005-4006",0,8,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",7,0,0,1,0,69,384,0,0,6,304,110,33,0,1,32,56,164,93,61,37,12,4,1,0,0,380,81,453,1,2,0,0,0,0,0,0,1,0,65
"9116",2024-12-30,GBSPX-BEBMI,ES,E300,"3219-3220",0,1,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",9,0,0,1,29,130,466,0,0,32,435,103,55,0,6,69,74,121,125,109,90,34,18,3,0,0,240,409,625,4,0,0,2,0,0,0,1,1,2,149
"9117",2024-12-30,BEBMI-GBSPX-FAST,ES,E320,"4025-4026",0,1,Lille Europe,France,"50.639224","3.075796","16",9,0,0,0,0,31,201,0,0,13,136,64,19,0,1,26,27,64,34,37,37,11,5,2,0,0,229,15,232,0,0,0,0,0,0,0,0,0,0,31
"9117",2024-12-30,BEBMI-GBSPX-FAST,ES,E320,"4025-4026",0,1,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",8,0,0,0,7,89,435,0,0,20,369,112,30,0,0,41,74,128,94,93,57,31,7,0,0,0,439,86,531,0,0,0,0,0,0,0,0,0,0,96
"9123",2024-12-30,BEBMI-GBSPX-FAST,ES,E300,"4007-4008",3,1,Lille Europe,France,"50.639224","3.075796","16",11,0,0,0,1,30,64,1,0,9,65,13,9,0,0,11,9,6,12,20,14,2,6,0,0,0,62,18,96,0,0,0,0,0,0,0,0,0,0,32
"9123",2024-12-30,BEBMI-GBSPX-FAST,ES,E300,"4007-4008",3,1,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",10,22,0,0,51,87,468,2,1,22,428,114,45,0,1,50,67,147,91,101,89,39,9,2,0,0,407,189,609,2,0,0,1,0,0,0,0,0,3,135
"9126",2024-12-30,GBSPX-NLAMA,ES,E320,"4003-4004",0,-1,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",11,12,0,0,75,131,656,2,2,47,603,140,76,0,5,86,96,148,203,124,135,61,32,5,0,0,345,550,866,1,0,0,0,0,0,0,0,0,4,205
"9132",2024-12-30,GBSPX-BEBMI,ES,E320,"4019-4020",-1,-1,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",13,10,0,0,70,107,635,3,3,68,540,142,67,1,4,88,98,106,112,167,131,84,31,3,1,0,510,315,818,4,2,0,0,0,1,0,0,0,0,176
"9135",2024-12-30,BEBMI-GBSPX-FAST,ES,E300,"3219-3220",4,4,Lille Europe,France,"50.639224","3.075796","16",13,0,0,0,2,25,119,0,0,13,96,27,10,0,1,16,21,28,31,23,18,12,10,2,0,0,101,61,146,1,1,0,0,0,0,0,0,0,0,25
"9135",2024-12-30,BEBMI-GBSPX-FAST,ES,E300,"3219-3220",4,4,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",12,0,0,0,32,90,395,1,2,42,366,87,25,0,0,37,56,98,89,87,91,52,21,5,0,0,252,284,520,0,0,0,0,0,0,0,0,1,8,116
"9141",2024-12-30,BEBMI-GBSPX-FAST,ES,E300,"3205-3206",0,5,Lille Europe,France,"50.639224","3.075796","16",15,0,0,0,3,19,160,1,1,22,113,14,35,0,2,35,11,26,35,27,24,15,10,0,0,0,107,78,184,0,0,0,0,0,0,0,0,0,1,23
"9141",2024-12-30,BEBMI-GBSPX-FAST,ES,E300,"3205-3206",0,5,Brussels Midi / Zuid,Belgium,"50.835374","4.335695","16",14,0,0,1,22,78,370,2,3,37,320,73,44,1,0,44,52,72,70,80,59,38,17,4,0,0,170,266,475,1,1,1,2,0,0,0,0,0,0,100
