"train_no","scheduled_dt","route","carrier","eq_code","set_no","dep_delay","arr_delay","station","country","latitude","longitude","zoom","hr","group","assistance","duty","premier","plus","standard","wheelchair_companion","wheelchair","senior","adult","youth","child","guide_dog","00~02","03~12","13~19","20~29","30~39","40~49","50~59","60~69","70~79","80~89","90~99","100+","eu_count","noneu_count","passeneger_counts","child_meal","dairy_free_meal","diabetic_meal","gluten_free_meal","kosher_meal","low_fat_meal","low_salt_meal","halal_meal","vegan_meal","vegetarian_meal","standard_meal"
"9004",2024-12-24,GBSPX-FRPNO,Eurostar,E320,"4021-4022",-1,1,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",7,24,0,0,3,108,621,0,0,9,524,150,49,0,2,54,85,264,161,83,59,22,7,1,0,0,287,451,732,0,1,0,0,0,0,0,2,0,0,108
"9007",2024-12-24,FRPNO-GBSPX,Eurostar,E320,"4023-4024",-1,-1,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",7,0,0,0,6,64,473,0,0,8,344,168,23,0,3,32,117,229,85,58,56,21,3,0,0,0,406,198,543,0,0,0,0,0,0,0,1,0,0,69
"9008",2024-12-24,GBSPX-FRPNO,Eurostar,E320,"4009-4010",1,1,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",8,0,0,0,12,120,649,1,1,24,561,158,39,1,4,51,91,182,151,101,89,38,12,2,0,0,308,413,783,0,0,0,0,0,0,0,1,1,3,129
"9009",2024-12-24,FRPNO-GBSPX,Eurostar,E320,"4001-4002",0,3,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",7,11,0,0,1,80,503,0,0,30,359,148,47,0,0,55,84,122,88,76,48,25,3,5,0,0,366,140,584,0,0,0,0,0,0,0,3,1,1,76
"9013",2024-12-24,FRPNO-GBSPX,Eurostar,E320,"3205-3206",0,2,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",8,0,0,0,1,88,540,0,0,20,423,138,47,1,7,54,108,154,122,96,83,35,14,4,0,0,445,232,629,1,1,0,1,0,0,0,0,0,0,86
"9014",2024-12-24,GBSPX-FRPNO,Eurostar,E320,"4023-4024",0,1,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",9,0,0,0,26,125,615,0,0,22,526,168,50,0,1,70,112,184,125,143,98,36,8,2,0,0,300,479,766,0,0,0,1,0,0,0,0,0,0,150
"9015",2024-12-24,FRPNO-GBSPX,Eurostar,E300,"4029-4030",1,-1,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",9,0,0,0,8,74,445,0,0,21,342,111,52,1,3,56,86,118,85,94,69,24,19,1,0,0,377,178,527,2,0,2,1,5,0,0,1,1,0,70
"9018",2024-12-24,GBSPX-FRPNO,Eurostar,E320,"4001-4002",-1,4,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",10,15,0,0,29,131,655,0,0,45,525,162,83,0,3,87,114,142,135,129,99,53,17,2,1,0,288,494,815,1,0,0,1,0,0,0,0,0,0,158
"9019",2024-12-24,FRPNO-GBSPX,Eurostar,E320,"4019-4020",-1,1,Paris Gare du Nord,France,"48.8809481","2.3553137000000106","15",10,10,0,0,20,80,632,0,0,48,489,124,71,0,4,88,74,151,111,125,95,72,26,2,0,0,445,303,732,0,0,0,0,0,0,0,3,0,0,97
"9022",2024-12-24,GBSPX-FRPNO,Eurostar,E320,"4029-4030",-1,0,London St Pancras Int'l,United Kingdom,"51.531427",-0.12613299999998162,"17",11,0,0,0,66,101,632,0,0,20,533,177,69,0,1,79,129,172,122,139,112,37,17,3,0,0,292,519,799,0,1,0,2,1,0,0,0,0,2,161
